stock_id,predicted_realized_vol
1,0.0019500000000000001
2,0.00095
3,0.004200000000000001
4,0.004200000000000001
5,0.00285
6,0.00385
7,0.00335
8,0.00215
9,0.0029000000000000002
10,0.0015
11,0.00245
13,0.0014
14,0.00135
15,0.0008
16,0.0006000000000000001
17,0.00135
18,0.0028
19,0.0012000000000000001
20,0.00075
21,0.00055
22,0.0047
23,0.0018000000000000002
26,0.002
27,0.00135
28,0.0009000000000000001
29,0.00125
30,0.0008500000000000001
31,0.0025
32,0.0008500000000000001
33,0.00445
34,0.00135
35,0.0021000000000000003
36,0.00135
37,0.0011
38,0.0022
39,0.00075
40,0.0036000000000000003
41,0.00045000000000000004
42,0.00125
43,0.00075
44,0.0016
46,0.0011
47,0.001
48,0.0019500000000000001
50,0.00095
51,0.00095
52,0.0011
53,0.0015500000000000002
55,0.00285
56,0.00135
58,0.00185
59,0.00135
60,0.0037
61,0.00385
62,0.0031000000000000003
63,0.0019
64,0.0008500000000000001
66,0.0014
67,0.00125
68,0.0016
69,0.0013000000000000002
70,0.00115
72,0.0009000000000000001
73,0.0015500000000000002
74,0.0017000000000000001
75,0.00525
76,0.0025
77,0.0031000000000000003
78,0.0028
80,0.005200000000000001
81,0.00295
82,0.00185
83,0.00265
84,0.0039000000000000003
85,0.0008500000000000001
86,0.00245
87,0.0024000000000000002
88,0.0024000000000000002
89,0.0021000000000000003
90,0.0011
93,0.001
94,0.00185
95,0.0023
96,0.0022
97,0.0027
98,0.00185
99,0.0015500000000000002
100,0.0023
101,0.00115
102,0.0025
103,0.00185
104,0.0018000000000000002
105,0.0009000000000000001
107,0.001
108,0.0014500000000000001
109,0.00075
110,0.00355
111,0.0014
112,0.0027
113,0.0021000000000000003
114,0.001
115,0.0013000000000000002
116,0.0021000000000000003
118,0.0019
119,0.0011
120,0.00135
122,0.00305
123,0.00125
124,0.00285
125,0.00095
126,0.0010500000000000002
